Anno;Semestre ;N. Provvedimento;Data Provvedimento;Tipo di provvedimento;Tipologia di accordo;OGGETTO;ENTI FIRMATARI;
2021;II;951;21/07/2021;Determina;PRIMO ACCORDO OPERATIVO;Primo accordo opertivo tra AIPo e l�ERSAF in materia di difesa del suolo, sicurezza idraulica, tutela e gestione delle sponde fluviali nelle aree di competenza di AIPo (VEDI CQ REP 20/2020, del 11/08/2020);ENTE REGIONALE PER I SERVIZI ALL�AGRICOLTURA E ALLE FORESTE (ERSAF) e AIPo;
2021;II;1023;09/08/2021;Determina;CONVENZIONE;Convenzione per la gestione, la manutenzione e la vigilanza delle opere di laminazione delle piene e l�ottimizzazione idraulica della confluenza del Rio Nizza nel Torrente Belbo;COMUNE DI NIZZA MONFERRATO e AIPo�;
2021;II;1082;24/08/2021;Determina;CONVENZIONE;Convenzione per la progettazione definitiva ed esecutiva e la realizzazione del tronco 1 del lotto funzionale prioritario emiliano della ciclovia turistica nazionale VENTO: dall�argine maestro di San Rocco al Porto sul fiume Po alla stazione di Piacenza e in destra Po fino al ponte sul Torrente Nure in localit� Fossadello;REGIONE EMILIA ROMAGNA, COMUNE DI PIACENZA e AIPo;
2021;II;1158;15/09/2021;Determina;CONVENZIONE;Supporto tecnico-scientifico� per la gestione della risorsa idrica del Lago di Garda e l'ottimizzazione gestionale dei manufatti idraulici del nodo Pozzolo-Marenghello sul fiume Mincio;UNIVERSITA' DI TRENTO (Dipartimento di Ingegneria Civile, Ambientale e Meccanica) e AIPo;
2021;II;1163;15/09/2021;Determina;PROTOCOLLO D'INTESA;Protocollo d�intesa tra Comune di Limone sul Garda (BS) e AIPo per l�esecuzione dei lavori per la messa in sicurezza del tratto teminale del torrente Pura, quale utlimo lotto funzionale, parte B, prospiciente il Lago di Garda;COMUNE DI LIMONE SUL GARDA e AIPo;
2021;II;1225;30/09/2021;Determina;ATTO AGGIUNTIVO ALLA CONVENZIONE Rep. Aipo n. 1342 del 27/09/2018;Regione Piemonte e AIPo Atto aggiuntivo alla Convenzione Rep. Aipo n. 1342 del 27/09/2018 per la progettazione e realizzazione della Cassa di espansione del fiume Dora Riparia a protezione della citt� di Torino - Progettazione intervento ed opere 1� Lotto. Integrazione finanziamento,� CUP B13B12000060002;REGIONE PIEMONTE e AIPo;
2021;II;1304;14/10/2021;Determina;ACCORDO;Accordo�per la realizzazione dei lavori del lotto funzionale prioritario � tratto da San Rocco al Porto a Stagno Lombardo - della ciclovia turistica nazionale VENTO;REGIONE LOMBARDIA e AIPo;
2021;II;1341;20/10/2021;Determina;ACCORDO DI COLLABORAZIONE;"Accordo di collaborazione ex art.15 L.241/1990 tra AIPo e Alma Mater Studiorum Univesit� di Bologna � Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei Materiali � DICAM per attivit� di ricerca sul tema �Analisi e Monitoraggio dell�Integrit� dei Rilevati Arginali dei fiumi appenninici � AMIRA. Progetto pilota sul Fiume Panaro finalizzato a successive attivit� di progettazione e messa in sicurezza""";ALMA MATER STUDIORUM -UNIBO DICAM e AIPo;
2021;II;1361;27/10/2021;Determina;CONVENZIONE;"Convenzione per attivit� di ricerca sul tema �Prove sperimentali di misura per il funzionamento del modello fisico della Cassa di Laminazione del Fiume Secchia""";POLITECNICO DI MILANO - POLIMI DICA e� AIPo;
2021;II;1433;11/11/2021;Determina;ACCORDO OPERATIVO;Accordo operativo per la gestione del varco sull�arginatura destra del fiume Po in corrispondenza dell�intersezione con il ponte ferroviario di collegamento tra Colorno e Casalmaggiore;RFI e AIPo;
